ID,NDVI,NDRE,E,N
241,-0.0656853,0.0716077,336376.295,4451882.229
242,-0.0748025,0.0408212,336381.295,4451882.229
243,0.0321962,0.0668252,336386.295,4451882.229
244,-0.0809483,0.0563592,336401.295,4451882.229
245,-0.064702,0.0615789,336406.295,4451882.229
246,0.0727569,0.0682048,336411.295,4451882.229
247,-0.0164575,0.0791591,336416.295,4451882.229
248,-0.0017762,0.0688582,336421.295,4451882.229
249,0.0061289,0.1039839,336426.295,4451882.229
250,-0.0856164,0.0695406,336431.295,4451882.229
251,-0.1125194,0.08754,336436.295,4451882.229
252,-0.0556849,0.0785925,336441.295,4451882.229
253,0.0256376,0.0983177,336456.295,4451882.229
254,-0.0848974,0.074802,336461.295,4451882.229
255,-0.0443507,0.0479692,336466.295,4451882.229
256,-0.1301858,0.0457201,336471.295,4451882.229
257,-0.0652483,0.0499979,336476.295,4451882.229
258,0.0621912,0.0541572,336481.295,4451882.229
259,0.0572178,0.0594429,336486.295,4451882.229
260,-0.078639,0.042837,336496.295,4451882.229
261,-0.1329955,0.0282103,336501.295,4451882.229
262,0.0625685,0.0416208,336506.295,4451882.229
263,0.0129523,0.0355312,336516.295,4451882.229
264,-0.0201516,0.0495845,336521.295,4451882.229
265,-0.0230156,0.0498828,336526.295,4451882.229
266,0.0470698,0.0527251,336536.295,4451882.229
267,-0.0507783,0.0407765,336541.295,4451882.229
268,0.126885,0.0968641,336546.295,4451882.229
269,0.0088658,0.0514243,336551.295,4451882.229
270,0.1030511,0.111293,336556.295,4451882.229
271,-0.0211667,0.0617094,336561.295,4451882.229
272,0.0412649,0.0709784,336566.295,4451882.229
273,-0.1134771,0.0454915,336571.295,4451882.229
274,-0.1453929,0.0360475,336576.295,4451882.229
275,-0.1364158,0.0319586,336581.295,4451882.229
276,0.022559,0.0701636,336586.295,4451882.229
277,-0.0073118,0.0540334,336591.295,4451882.229
278,-0.1163292,0.0462481,336376.295,4451877.229
279,-0.082078,0.0394474,336386.295,4451877.229
280,-0.1083947,0.0437231,336391.295,4451877.229
281,-0.0089933,0.0737841,336396.295,4451877.229
282,0.055942,0.070933,336401.295,4451877.229
283,-0.0764468,0.0575214,336406.295,4451877.229
284,-0.0197031,0.0809799,336411.295,4451877.229
285,-0.040187,0.0813019,336416.295,4451877.229
286,-0.0888132,0.0998802,336421.295,4451877.229
287,-0.1324914,0.0639304,336426.295,4451877.229
288,-0.110929,0.0780952,336431.295,4451877.229
289,0.0793875,0.1031506,336436.295,4451877.229
290,-0.007054,0.0714679,336441.295,4451877.229
291,-0.0685619,0.1023859,336446.295,4451877.229
292,-0.0732387,0.0120402,336461.295,4451877.229
293,0.075522,0.0528504,336466.295,4451877.229
294,0.0495074,0.0480161,336471.295,4451877.229
295,0.0042577,0.0312307,336476.295,4451877.229
296,-0.0067551,0.0426824,336481.295,4451877.229
297,0.1337519,0.0577643,336491.295,4451877.229
298,0.0373248,0.0420288,336501.295,4451877.229
299,0.0493786,0.0344209,336506.295,4451877.229
300,-0.0839607,0.0507165,336511.295,4451877.229
301,0.049187,0.04103,336516.295,4451877.229
302,0.0897789,0.0740199,336521.295,4451877.229
303,0.0340667,0.0638323,336526.295,4451877.229
304,0.0371731,0.069429,336531.295,4451877.229
305,0.0871656,0.0524568,336536.295,4451877.229
306,0.1086161,0.0866306,336541.295,4451877.229
307,0.0083341,0.0824888,336546.295,4451877.229
308,-0.0470869,0.0297712,336551.295,4451877.229
309,0.0530875,0.0847594,336556.295,4451877.229
310,0.072239,0.060603,336566.295,4451877.229
311,-0.0301683,0.058311,336571.295,4451877.229
312,0.0700596,0.0693183,336576.295,4451877.229
313,-0.1491782,0.0549652,336581.295,4451877.229
314,-0.0145709,0.0632377,336586.295,4451877.229
315,0.1009231,0.0648837,336591.295,4451877.229
316,0.0322033,0.064657,336596.295,4451877.229
317,-0.0137167,0.0544892,336376.295,4451872.229
318,-0.0878313,0.0700255,336381.295,4451872.229
319,0.0738333,0.0679109,336386.295,4451872.229
320,-0.1001999,0.0490049,336396.295,4451872.229
321,-0.0201097,0.0630609,336401.295,4451872.229
322,-0.084741,0.0879099,336406.295,4451872.229
323,0.0106571,0.0738639,336411.295,4451872.229
324,0.0178336,0.078393,336416.295,4451872.229
325,-0.056668,0.0770912,336421.295,4451872.229
326,-0.0551875,0.0773783,336431.295,4451872.229
327,-0.0514776,0.0978596,336436.295,4451872.229
328,-0.0437728,0.0650851,336441.295,4451872.229
329,-0.0141835,0.074884,336451.295,4451872.229
330,-0.0855469,0.0753072,336456.295,4451872.229
331,-0.0915233,0.0515867,336461.295,4451872.229
332,-0.0368318,0.0711268,336466.295,4451872.229
333,-0.0371681,0.0340378,336471.295,4451872.229
334,0.132227,0.0450616,336476.295,4451872.229
335,-0.1374721,0.0492077,336481.295,4451872.229
336,-0.113929,0.0373269,336486.295,4451872.229
337,-0.0804746,0.0500713,336496.295,4451872.229
338,-0.1253328,0.039913,336501.295,4451872.229
339,0.0201834,0.038916,336506.295,4451872.229
340,0.0640908,0.0286459,336511.295,4451872.229
341,0.0204844,0.0420885,336516.295,4451872.229
342,-0.063604,0.0582913,336521.295,4451872.229
343,0.1679471,0.0647021,336526.295,4451872.229
344,0.011284,0.0573964,336531.295,4451872.229
345,-0.0911456,0.0370773,336536.295,4451872.229
346,-0.1158156,0.0380524,336541.295,4451872.229
347,0.025624,0.0542506,336546.295,4451872.229
348,-0.0477913,0.0781061,336551.295,4451872.229
349,-0.0235186,0.0699407,336556.295,4451872.229
350,-0.0461835,0.0750585,336571.295,4451872.229
351,-0.1087756,0.0667944,336576.295,4451872.229
352,0.1020267,0.0572435,336581.295,4451872.229
353,0.0181177,0.0539658,336586.295,4451872.229
354,-0.0777174,0.0345036,336591.295,4451872.229
355,-0.0285905,0.058367,336596.295,4451872.229
356,-0.0292572,0.045813,336381.295,4451867.229
357,0.0799939,0.0810189,336391.295,4451867.229
358,-0.0176903,0.0551978,336396.295,4451867.229
359,-0.0289937,0.0672697,336401.295,4451867.229
360,-0.0064468,0.0408656,336406.295,4451867.229
361,-0.0643725,0.0784585,336411.295,4451867.229
362,-0.1015681,0.065989,336416.295,4451867.229
363,-0.0794264,0.0689212,336421.295,4451867.229
364,-0.118058,0.0774799,336426.295,4451867.229
365,-0.0326288,0.0788634,336431.295,4451867.229
366,0.0342604,0.0851786,336436.295,4451867.229
367,-0.0689538,0.0850849,336441.295,4451867.229
368,-0.0360744,0.109879,336446.295,4451867.229
369,-0.1002795,0.0365215,336451.295,4451867.229
370,0.0300072,0.0598889,336456.295,4451867.229
371,0.0644463,0.0419893,336476.295,4451867.229
372,-0.091369,0.0574804,336481.295,4451867.229
373,-0.0699936,0.0608618,336486.295,4451867.229
374,-0.0357329,0.0503015,336491.295,4451867.229
375,-0.1107186,0.0233899,336501.295,4451867.229
376,0.028499,0.0514293,336516.295,4451867.229
377,-0.0329337,0.0566781,336521.295,4451867.229
378,0.0045151,0.0560048,336526.295,4451867.229
379,0.1211196,0.068178,336531.295,4451867.229
380,-0.0360455,0.0729678,336536.295,4451867.229
381,0.0076224,0.0814885,336546.295,4451867.229
382,-0.0164484,0.1022317,336551.295,4451867.229
383,-0.0908405,0.084881,336566.295,4451867.229
384,0.0030972,0.0774974,336571.295,4451867.229
385,0.1109614,0.0995902,336576.295,4451867.229
386,-0.0204946,0.0522994,336581.295,4451867.229
387,0.1391109,0.0672616,336586.295,4451867.229
388,-0.0436513,0.0540711,336591.295,4451867.229
389,-0.0153098,0.0498324,336596.295,4451867.229
390,-0.0706012,0.0690433,336381.295,4451862.229
391,-0.0634601,0.0587795,336386.295,4451862.229
392,0.0720426,0.0855327,336401.295,4451862.229
393,-0.0872665,0.0670383,336406.295,4451862.229
394,-0.0440163,0.0683491,336411.295,4451862.229
395,-0.0507949,0.0503712,336416.295,4451862.229
396,-0.131659,0.079301,336426.295,4451862.229
397,-0.0610355,0.0987068,336431.295,4451862.229
398,-0.0265758,0.0849101,336436.295,4451862.229
399,0.1082864,0.1079924,336441.295,4451862.229
400,-0.0706582,0.0843209,336451.295,4451862.229
401,0.0147505,0.0805429,336461.295,4451862.229
402,0.045325,0.0512673,336481.295,4451862.229
403,-0.0238457,0.0463847,336486.295,4451862.229
404,-0.094359,0.0705877,336491.295,4451862.229
405,0.0110726,0.0639636,336496.295,4451862.229
406,-0.0830592,0.0442896,336506.295,4451862.229
407,-0.0909727,0.0370144,336511.295,4451862.229
408,0.0278411,0.0477766,336516.295,4451862.229
409,0.0139677,0.0791333,336521.295,4451862.229
410,0.019698,0.0575341,336531.295,4451862.229
411,-0.088097,0.0720378,336536.295,4451862.229
412,0.0268667,0.0559443,336541.295,4451862.229
